Group,ID,TargetEmotion,nGeneration,nSelected
PT,S1PT02,Angry,7,5
PT,S1PT02,Angry,8,7
PT,S1PT02,Fearful,1,1
PT,S1PT02,Fearful,2,2
PT,S1PT02,Fearful,3,3
PT,S1PT02,Fearful,4,2
PT,S1PT02,Fearful,5,6
PT,S1PT02,Fearful,6,3
PT,S1PT02,Fearful,7,2
PT,S1PT02,Fearful,8,2
PT,S1PT02,Happy,1,2
PT,S1PT02,Happy,2,2
PT,S1PT02,Happy,3,2
PT,S1PT02,Happy,4,2
PT,S1PT02,Happy,5,2
PT,S1PT02,Happy,6,2
PT,S1PT02,Happy,7,2
PT,S1PT02,Happy,8,2
PT,S1PT03,Angry,1,2
PT,S1PT03,Angry,2,6
PT,S1PT03,Angry,3,6
PT,S1PT03,Angry,4,4
PT,S1PT03,Angry,5,6
PT,S1PT03,Angry,6,5
PT,S1PT03,Angry,7,6
PT,S1PT03,Angry,8,6
PT,S1PT03,Fearful,1,2
PT,S1PT03,Fearful,2,4
PT,S1PT03,Fearful,3,5
PT,S1PT03,Fearful,4,6
PT,S1PT03,Fearful,5,6
PT,S1PT03,Fearful,6,4
PT,S1PT03,Fearful,7,5
PT,S1PT03,Fearful,8,6
PT,S1PT03,Happy,1,2
PT,S1PT03,Happy,2,1
PT,S1PT03,Happy,3,1
PT,S1PT03,Happy,4,3
PT,S1PT03,Happy,5,2
PT,S1PT03,Happy,6,2
PT,S1PT03,Happy,7,3
PT,S1PT03,Happy,8,3
PT,S1PT04,Angry,1,3
PT,S1PT04,Angry,2,3
PT,S1PT04,Angry,3,3
PT,S1PT04,Angry,4,4
PT,S1PT04,Angry,5,3
PT,S1PT04,Angry,6,1
PT,S1PT04,Angry,7,2
PT,S1PT04,Angry,8,3
PT,S1PT04,Fearful,1,1
PT,S1PT04,Fearful,2,1
PT,S1PT04,Fearful,3,3
PT,S1PT04,Fearful,4,3
PT,S1PT04,Fearful,5,3
PT,S1PT04,Fearful,6,3
PT,S1PT04,Fearful,7,3
PT,S1PT04,Fearful,8,3
PT,S1PT04,Happy,1,2
PT,S1PT04,Happy,2,4
PT,S1PT04,Happy,3,3
PT,S1PT04,Happy,4,3
PT,S1PT04,Happy,5,3
PT,S1PT04,Happy,6,4
PT,S1PT04,Happy,7,4
PT,S1PT04,Happy,8,4
PT,S1PT05,Angry,1,1
PT,S1PT05,Angry,2,2
PT,S1PT05,Angry,3,2
PT,S1PT05,Angry,4,2
PT,S1PT05,Angry,5,2
PT,S1PT05,Angry,6,2
PT,S1PT05,Angry,7,2
PT,S1PT05,Angry,8,2
PT,S1PT05,Fearful,1,1
PT,S1PT05,Fearful,2,1
PT,S1PT05,Fearful,3,1
PT,S1PT05,Fearful,4,2
PT,S1PT05,Fearful,5,2
PT,S1PT05,Fearful,6,2
PT,S1PT05,Fearful,7,2
PT,S1PT05,Fearful,8,2
PT,S1PT05,Happy,1,2
PT,S1PT05,Happy,2,2
PT,S1PT05,Happy,3,2
PT,S1PT05,Happy,4,2
PT,S1PT05,Happy,5,2
PT,S1PT05,Happy,6,2
PT,S1PT05,Happy,7,1
PT,S1PT05,Happy,8,2
PT,S1PT06,Angry,1,4
PT,S1PT06,Angry,2,4
PT,S1PT06,Angry,3,3
PT,S1PT06,Angry,4,3
PT,S1PT06,Angry,5,3
PT,S1PT06,Angry,6,3
PT,S1PT06,Angry,7,3
PT,S1PT06,Angry,8,3
PT,S1PT06,Fearful,1,2
PT,S1PT06,Fearful,2,3
PT,S1PT06,Fearful,3,3
PT,S1PT06,Fearful,4,3
PT,S1PT06,Fearful,5,4
PT,S1PT06,Fearful,6,5
PT,S1PT06,Fearful,7,5
PT,S1PT06,Fearful,8,5
PT,S1PT06,Happy,1,2
PT,S1PT06,Happy,2,5
PT,S1PT06,Happy,3,3
PT,S1PT06,Happy,4,4
PT,S1PT06,Happy,5,6
PT,S1PT06,Happy,6,3
PT,S1PT06,Happy,7,5
PT,S1PT06,Happy,8,4
PT,S1PT08,Angry,1,2
PT,S1PT08,Angry,2,3
PT,S1PT08,Angry,3,5
PT,S1PT08,Angry,4,4
PT,S1PT08,Angry,5,4
PT,S1PT08,Angry,6,5
PT,S1PT08,Angry,7,4
PT,S1PT08,Angry,8,5
PT,S1PT08,Fearful,1,2
PT,S1PT08,Fearful,2,5
PT,S1PT08,Fearful,3,4
PT,S1PT08,Fearful,4,5
PT,S1PT08,Fearful,5,5
PT,S1PT08,Fearful,6,4
PT,S1PT08,Fearful,7,6
PT,S1PT08,Fearful,8,6
PT,S1PT08,Happy,1,3
PT,S1PT08,Happy,2,4
PT,S1PT08,Happy,3,5
PT,S1PT08,Happy,4,4
PT,S1PT08,Happy,5,7
PT,S1PT08,Happy,6,4
PT,S1PT08,Happy,7,5
PT,S1PT08,Happy,8,4
PT,S1PT09,Angry,1,2
PT,S1PT09,Angry,2,5
PT,S1PT09,Angry,3,5
PT,S1PT09,Angry,4,3
PT,S1PT09,Angry,5,4
PT,S1PT09,Angry,6,7
PT,S1PT09,Angry,7,4
PT,S1PT09,Angry,8,5
PT,S1PT09,Fearful,1,2
PT,S1PT09,Fearful,2,4
PT,S1PT09,Fearful,3,3
PT,S1PT09,Fearful,4,3
PT,S1PT09,Fearful,5,3
PT,S1PT09,Fearful,6,3
PT,S1PT09,Fearful,7,2
PT,S1PT09,Fearful,8,3
PT,S1PT09,Happy,1,3
PT,S1PT09,Happy,2,2
PT,S1PT09,Happy,3,3
PT,S1PT09,Happy,4,1
PT,S1PT09,Happy,5,2
PT,S1PT09,Happy,6,3
PT,S1PT09,Happy,7,4
PT,S1PT09,Happy,8,2
PT,S1PT12,Angry,1,2
PT,S1PT12,Angry,2,3
PT,S1PT12,Angry,3,4
PT,S1PT12,Angry,4,3
PT,S1PT12,Angry,5,6
PT,S1PT12,Angry,6,5
PT,S1PT12,Angry,7,4
PT,S1PT12,Angry,8,6
PT,S1PT12,Fearful,1,2
PT,S1PT12,Fearful,2,3
PT,S1PT12,Fearful,3,4
PT,S1PT12,Fearful,4,3
PT,S1PT12,Fearful,5,4
PT,S1PT12,Fearful,6,5
PT,S1PT12,Fearful,7,4
PT,S1PT12,Fearful,8,4
PT,S1PT12,Happy,1,2
PT,S1PT12,Happy,2,5
PT,S1PT12,Happy,3,6
PT,S1PT12,Happy,4,5
PT,S1PT12,Happy,5,5
PT,S1PT12,Happy,6,5
PT,S1PT12,Happy,7,6
PT,S1PT12,Happy,8,4
PT,S1PT13,Angry,1,2
PT,S1PT13,Angry,2,2
PT,S1PT13,Angry,3,2
PT,S1PT13,Angry,4,2
PT,S1PT13,Angry,5,2
PT,S1PT13,Angry,6,2
PT,S1PT13,Angry,7,2
PT,S1PT13,Angry,8,2
PT,S1PT13,Fearful,1,2
PT,S1PT13,Fearful,2,2
PT,S1PT13,Fearful,3,2
PT,S1PT13,Fearful,4,2
PT,S1PT13,Fearful,5,2
PT,S1PT13,Fearful,6,2
PT,S1PT13,Fearful,7,2
PT,S1PT13,Fearful,8,2
PT,S1PT13,Happy,1,4
PT,S1PT13,Happy,2,2
PT,S1PT13,Happy,3,3
PT,S1PT13,Happy,4,3
PT,S1PT13,Happy,5,4
PT,S1PT13,Happy,6,5
PT,S1PT13,Happy,7,5
PT,S1PT13,Happy,8,4
PT,S1PT15,Angry,1,3
PT,S1PT15,Angry,2,3
PT,S1PT15,Angry,3,2
PT,S1PT15,Angry,4,5
PT,S1PT15,Angry,5,5
PT,S1PT15,Angry,6,7
PT,S1PT15,Angry,7,6
PT,S1PT15,Angry,8,4
PT,S1PT15,Happy,1,3
PT,S1PT15,Happy,2,2
PT,S1PT15,Happy,3,4
PT,S1PT15,Happy,4,6
PT,S1PT15,Happy,5,4
PT,S1PT15,Happy,6,7
PT,S1PT15,Happy,7,7
PT,S1PT15,Happy,8,7
PT,S1PT16,Angry,1,6
PT,S1PT16,Angry,2,7
PT,S1PT16,Angry,3,7
PT,S1PT16,Angry,4,6
PT,S1PT16,Angry,5,8
PT,S1PT16,Angry,6,9
PT,S1PT16,Angry,7,8
PT,S1PT16,Angry,8,9
PT,S1PT16,Fearful,1,4
PT,S1PT16,Fearful,2,7
PT,S1PT16,Fearful,3,7
PT,S1PT16,Fearful,4,2
PT,S1PT16,Fearful,5,7
PT,S1PT16,Fearful,6,8
PT,S1PT16,Fearful,7,7
PT,S1PT16,Fearful,8,6
PT,S1PT16,Happy,1,2
PT,S1PT16,Happy,2,3
PT,S1PT16,Happy,3,3
PT,S1PT16,Happy,4,4
PT,S1PT16,Happy,5,5
PT,S1PT16,Happy,6,5
PT,S1PT16,Happy,7,4
PT,S1PT16,Happy,8,4
PT,S1PT17,Angry,1,3
PT,S1PT17,Angry,2,3
PT,S1PT17,Angry,3,4
PT,S1PT17,Angry,4,3
PT,S1PT17,Angry,5,3
PT,S1PT17,Angry,6,3
PT,S1PT17,Angry,7,3
PT,S1PT17,Angry,8,3
PT,S1PT17,Fearful,1,2
PT,S1PT17,Fearful,2,1
PT,S1PT17,Fearful,3,2
PT,S1PT17,Fearful,4,2
PT,S1PT17,Fearful,5,3
PT,S1PT17,Fearful,6,3
PT,S1PT17,Fearful,7,3
PT,S1PT17,Fearful,8,3
PT,S1PT17,Happy,1,3
PT,S1PT17,Happy,2,3
PT,S1PT17,Happy,3,3
PT,S1PT17,Happy,4,3
PT,S1PT17,Happy,5,3
PT,S1PT17,Happy,6,3
PT,S1PT17,Happy,7,3
PT,S1PT17,Happy,8,3
PT,S1PT18,Angry,1,5
PT,S1PT18,Angry,2,4
PT,S1PT18,Angry,3,2
PT,S1PT18,Angry,4,5
PT,S1PT18,Angry,5,7
PT,S1PT18,Angry,6,3
PT,S1PT18,Angry,7,4
PT,S1PT18,Angry,8,5
PT,S1PT18,Fearful,1,2
PT,S1PT18,Fearful,2,3
PT,S1PT18,Fearful,3,3
PT,S1PT18,Fearful,4,3
PT,S1PT18,Fearful,5,4
PT,S1PT18,Fearful,6,3
PT,S1PT18,Fearful,7,2
PT,S1PT18,Fearful,8,1
PT,S1PT18,Happy,1,3
PT,S1PT18,Happy,2,3
PT,S1PT18,Happy,3,4
PT,S1PT18,Happy,4,5
PT,S1PT18,Happy,5,4
PT,S1PT18,Happy,6,4
PT,S1PT18,Happy,7,6
PT,S1PT18,Happy,8,3
PT,S1PT19,Angry,1,2
PT,S1PT19,Angry,2,2
PT,S1PT19,Angry,3,3
PT,S1PT19,Angry,4,3
PT,S1PT19,Angry,5,3
PT,S1PT19,Angry,6,1
PT,S1PT19,Angry,7,2
PT,S1PT19,Angry,8,1
PT,S1PT19,Fearful,1,2
PT,S1PT19,Fearful,2,2
PT,S1PT19,Fearful,3,3
PT,S1PT19,Fearful,4,1
PT,S1PT19,Fearful,5,3
PT,S1PT19,Fearful,6,3
PT,S1PT19,Fearful,7,3
PT,S1PT19,Fearful,8,3
PT,S1PT19,Happy,1,2
PT,S1PT19,Happy,2,3
PT,S1PT19,Happy,3,3
PT,S1PT19,Happy,4,2
PT,S1PT19,Happy,5,2
PT,S1PT19,Happy,6,3
PT,S1PT19,Happy,7,3
PT,S1PT19,Happy,8,3
PT,S1PT21,Angry,1,2
PT,S1PT21,Angry,2,1
PT,S1PT21,Angry,3,3
PT,S1PT21,Angry,4,4
PT,S1PT21,Angry,5,5
PT,S1PT21,Angry,6,3
PT,S1PT21,Angry,7,3
PT,S1PT21,Angry,8,4
PT,S1PT21,Fearful,1,2
PT,S1PT21,Fearful,2,3
PT,S1PT21,Fearful,3,4
PT,S1PT21,Fearful,4,4
PT,S1PT21,Fearful,5,6
PT,S1PT21,Fearful,6,5
PT,S1PT21,Fearful,7,5
PT,S1PT21,Fearful,8,6
PT,S1PT21,Happy,1,2
PT,S1PT21,Happy,2,1
PT,S1PT21,Happy,3,5
PT,S1PT21,Happy,4,6
PT,S1PT21,Happy,5,6
PT,S1PT21,Happy,6,6
PT,S1PT21,Happy,7,4
PT,S1PT21,Happy,8,5
PT,S1PT22,Angry,1,2
PT,S1PT22,Angry,2,2
PT,S1PT22,Angry,3,2
PT,S1PT22,Angry,4,3
PT,S1PT22,Angry,5,3
PT,S1PT22,Angry,6,3
PT,S1PT22,Angry,7,3
PT,S1PT22,Angry,8,3
PT,S1PT22,Fearful,1,3
PT,S1PT22,Fearful,2,3
PT,S1PT22,Fearful,3,3
PT,S1PT22,Fearful,4,3
PT,S1PT22,Fearful,5,3
PT,S1PT22,Fearful,6,3
PT,S1PT22,Fearful,7,3
PT,S1PT22,Fearful,8,3
PT,S1PT22,Happy,1,2
PT,S1PT22,Happy,2,2
PT,S1PT22,Happy,3,2
PT,S1PT22,Happy,4,3
PT,S1PT22,Happy,5,3
PT,S1PT22,Happy,6,4
PT,S1PT22,Happy,7,4
PT,S1PT22,Happy,8,5
PT,S1PT23,Angry,1,2
PT,S1PT23,Angry,2,2
PT,S1PT23,Angry,3,2
PT,S1PT23,Angry,4,2
PT,S1PT23,Angry,5,2
PT,S1PT23,Angry,6,2
PT,S1PT23,Angry,7,2
PT,S1PT23,Angry,8,3
PT,S1PT23,Fearful,1,2
PT,S1PT23,Fearful,2,3
PT,S1PT23,Fearful,3,3
PT,S1PT23,Fearful,4,2
PT,S1PT23,Fearful,5,2
PT,S1PT23,Fearful,6,3
PT,S1PT23,Fearful,7,3
PT,S1PT23,Fearful,8,2
PT,S1PT23,Happy,1,2
PT,S1PT23,Happy,2,2
PT,S1PT23,Happy,3,2
PT,S1PT23,Happy,4,2
PT,S1PT23,Happy,5,2
PT,S1PT23,Happy,6,2
PT,S1PT23,Happy,7,3
PT,S1PT23,Happy,8,3
PT,S1PT24,Angry,1,4
PT,S1PT24,Angry,2,5
PT,S1PT24,Angry,3,5
PT,S1PT24,Angry,4,6
PT,S1PT24,Angry,5,5
PT,S1PT24,Angry,6,5
PT,S1PT24,Angry,7,6
PT,S1PT24,Angry,8,6
PT,S1PT24,Fearful,1,2
PT,S1PT24,Fearful,2,5
PT,S1PT24,Fearful,3,4
PT,S1PT24,Fearful,4,3
PT,S1PT24,Fearful,5,5
PT,S1PT24,Fearful,6,4
PT,S1PT24,Fearful,7,5
PT,S1PT24,Fearful,8,5
PT,S1PT24,Happy,1,2
PT,S1PT24,Happy,2,6
PT,S1PT24,Happy,3,6
PT,S1PT24,Happy,4,6
PT,S1PT24,Happy,5,7
PT,S1PT24,Happy,6,6
PT,S1PT24,Happy,7,6
PT,S1PT24,Happy,8,8
PT,S1PT25,Angry,1,5
PT,S1PT25,Angry,2,2
PT,S1PT25,Angry,3,4
PT,S1PT25,Angry,4,5
PT,S1PT25,Angry,5,6
PT,S1PT25,Angry,6,6
PT,S1PT25,Angry,7,6
PT,S1PT25,Angry,8,5
PT,S1PT25,Fearful,1,2
PT,S1PT25,Fearful,2,3
PT,S1PT25,Fearful,3,3
PT,S1PT25,Fearful,4,4
PT,S1PT25,Fearful,5,2
PT,S1PT25,Fearful,6,3
PT,S1PT25,Fearful,7,3
PT,S1PT25,Fearful,8,5
PT,S1PT25,Happy,1,2
PT,S1PT25,Happy,2,2
PT,S1PT25,Happy,3,2
PT,S1PT25,Happy,4,4
PT,S1PT25,Happy,5,3
PT,S1PT25,Happy,6,3
PT,S1PT25,Happy,7,5
PT,S1PT25,Happy,8,5
PT,S1PT27,Angry,1,3
PT,S1PT27,Angry,2,5
PT,S1PT27,Angry,3,4
PT,S1PT27,Angry,4,2
PT,S1PT27,Angry,5,4
PT,S1PT27,Angry,6,4
PT,S1PT27,Angry,7,3
PT,S1PT27,Angry,8,7
PT,S1PT27,Fearful,1,2
PT,S1PT27,Fearful,2,2
PT,S1PT27,Fearful,3,2
PT,S1PT27,Fearful,4,2
PT,S1PT27,Fearful,5,2
PT,S1PT27,Fearful,6,2
PT,S1PT27,Fearful,7,4
PT,S1PT27,Fearful,8,5
PT,S1PT27,Happy,1,3
PT,S1PT27,Happy,2,2
PT,S1PT27,Happy,3,4
PT,S1PT27,Happy,4,2
PT,S1PT27,Happy,5,4
PT,S1PT27,Happy,6,4
PT,S1PT27,Happy,7,4
PT,S1PT27,Happy,8,5
PT,S1PT28,Angry,1,2
PT,S1PT28,Angry,2,3
PT,S1PT28,Angry,3,3
PT,S1PT28,Angry,4,3
PT,S1PT28,Angry,5,6
PT,S1PT28,Angry,6,6
PT,S1PT28,Angry,7,3
PT,S1PT28,Angry,8,4
PT,S1PT28,Fearful,1,2
PT,S1PT28,Fearful,2,3
PT,S1PT28,Fearful,3,3
PT,S1PT28,Fearful,4,3
PT,S1PT28,Fearful,5,4
PT,S1PT28,Fearful,6,5
PT,S1PT28,Fearful,7,5
PT,S1PT28,Fearful,8,4
PT,S1PT28,Happy,1,2
PT,S1PT28,Happy,2,4
PT,S1PT28,Happy,3,2
PT,S1PT28,Happy,4,3
PT,S1PT28,Happy,5,4
PT,S1PT28,Happy,6,4
PT,S1PT28,Happy,7,4
PT,S1PT28,Happy,8,5
PT,S1PT31,Angry,1,3
PT,S1PT31,Angry,2,5
PT,S1PT31,Angry,3,5
PT,S1PT31,Angry,4,3
PT,S1PT31,Angry,5,6
PT,S1PT31,Angry,6,4
PT,S1PT31,Angry,7,4
PT,S1PT31,Angry,8,5
PT,S1PT31,Fearful,1,5
PT,S1PT31,Fearful,2,5
PT,S1PT31,Fearful,3,4
PT,S1PT31,Fearful,4,3
PT,S1PT31,Fearful,5,3
PT,S1PT31,Fearful,6,7
PT,S1PT31,Fearful,7,6
PT,S1PT31,Fearful,8,6
PT,S1PT31,Happy,1,2
PT,S1PT31,Happy,2,6
PT,S1PT31,Happy,3,4
PT,S1PT31,Happy,4,5
PT,S1PT31,Happy,5,4
PT,S1PT31,Happy,6,5
PT,S1PT31,Happy,7,6
PT,S1PT31,Happy,8,4
PT,S1PT33,Angry,1,2
PT,S1PT33,Angry,2,3
PT,S1PT33,Angry,3,3
PT,S1PT33,Angry,4,3
PT,S1PT33,Angry,5,2
PT,S1PT33,Angry,6,3
PT,S1PT33,Angry,7,4
PT,S1PT33,Angry,8,4
PT,S1PT33,Fearful,1,2
PT,S1PT33,Fearful,2,2
PT,S1PT33,Fearful,3,1
PT,S1PT33,Fearful,4,3
PT,S1PT33,Fearful,5,4
PT,S1PT33,Fearful,6,5
PT,S1PT33,Fearful,7,4
PT,S1PT33,Fearful,8,5
PT,S1PT33,Happy,1,2
PT,S1PT33,Happy,2,2
PT,S1PT33,Happy,3,2
PT,S1PT33,Happy,4,3
PT,S1PT33,Happy,5,5
PT,S1PT33,Happy,6,3
PT,S1PT33,Happy,7,6
PT,S1PT33,Happy,8,6
PT,S1PT35,Angry,1,2
PT,S1PT35,Angry,2,3
PT,S1PT35,Angry,3,3
PT,S1PT35,Angry,4,2
PT,S1PT35,Angry,5,2
PT,S1PT35,Angry,6,3
PT,S1PT35,Angry,7,2
PT,S1PT35,Angry,8,2
PT,S1PT35,Fearful,1,2
PT,S1PT35,Fearful,2,1
PT,S1PT35,Fearful,3,1
PT,S1PT35,Fearful,4,1
PT,S1PT35,Fearful,5,2
PT,S1PT35,Fearful,6,2
PT,S1PT35,Fearful,7,2
PT,S1PT35,Fearful,8,1
PT,S1PT35,Happy,1,2
PT,S1PT35,Happy,2,3
PT,S1PT35,Happy,3,2
PT,S1PT35,Happy,4,2
PT,S1PT35,Happy,5,2
PT,S1PT35,Happy,6,3
PT,S1PT35,Happy,7,4
PT,S1PT35,Happy,8,3
